0	160,264,480,808,
1	440,520,672,704,880,944,
2	455,472,552,792,864,912,936,968,
3	40,152,248,392,456,680,786,888,
4	32,264,
5	16,232,404,600,698,744,776,832,
6	359,368,408,504,864,
7	64,96,176,216,224,288,571,
8	136,408,448,616,792,936,941,960,
9	144,416,468,856,879,
10	176,365,376,
11	72,264,352,504,576,632,776,
12	318,432,512,
13	110,193,392,764,971,
14	64,88,136,312,352,632,
15	386,488,496,674,704,744,880,891,
16	363,376,616,784,792,992,
17	48,208,328,472,491,520,968,
18	176,408,498,864,920,
19	224,288,392,512,
20	208,544,800,928,960,984,
21	48,152,288,464,472,486,520,624,640,656,944,
22	424,616,648,704,752,792,
23	24,392,432,496,672,832,880,944,
24	88,97,192,312,374,464,752,800,864,917,
25	319,536,608,715,720,
26	110,336,376,432,600,784,
27	16,264,272,384,415,787,
28	280,408,439,616,864,912,
29	56,72,104,112,892,
30	568,791,800,848,872,896,912,926,952,
31	200,784,864,992,
32	784,840,936,
33	152,464,748,
34	96,104,416,592,608,720,728,856,983,990,
35	24,40,141,152,464,481,832,880,
36	256,296,336,552,668,728,
37	96,104,160,224,344,552,664,
38	112,144,360,369,472,736,800,808,840,920,976,
39	136,200,336,352,368,400,576,632,727,784,861,
40	232,312,416,504,552,792,
41	72,88,160,216,224,352,416,537,609,632,760,
42	142,198,294,390,510,617,646,670,678,742,758,894,958,998,
43	312,446,894,
44	102,126,174,238,310,420,430,694,910,
45	326,334,462,582,606,662,734,
46	31,350,422,446,521,522,718,758,990,
47	57,201,257,281,394,401,977,
48	561,873,897,
49	9,249,313,561,577,681,700,713,761,817,
50	129,249,345,385,473,712,
51	62,225,273,417,921,993,
52	310,438,694,720,745,
53	25,89,265,321,561,585,689,713,881,953,
54	176,409,609,913,945,969,993,
55	115,409,481,529,561,873,
56	25,129,209,449,521,921,
57	273,279,369,409,561,569,617,692,731,
58	72,518,913,
59	9,129,249,457,465,633,761,769,825,857,865,921,937,
60	49,73,129,145,329,377,665,985,993,
61	121,153,185,249,267,313,457,561,585,617,731,761,777,809,817,929,
62	103,165,276,543,575,671,679,883,
63	23,55,135,176,199,247,407,623,628,824,911,951,975,
64	383,423,
65	39,215,343,455,495,663,722,847,
66	15,239,359,391,424,455,487,575,695,813,943,
67	207,295,439,871,
68	567,583,719,967,975,
69	7,151,207,247,303,479,768,791,799,855,
70	7,247,263,271,303,655,799,
71	215,375,396,495,711,863,
72	7,15,231,431,455,503,695,727,759,
73	303,399,727,823,959,
74	25,43,235,305,403,411,491,555,640,667,787,835,
75	92,315,539,867,891,923,
76	35,59,179,235,379,391,446,569,
77	299,443,459,700,739,795,851,858,875,
78	19,115,299,427,467,595,691,838,
79	11,171,203,220,243,252,515,587,627,651,731,735,915,955,971,995,
80	35,307,339,531,662,819,827,
81	99,131,387,483,875,
82	35,75,307,531,547,729,915,955,
83	125,140,147,285,475,495,795,811,875,891,979,
84	27,67,755,915,
85	195,230,243,275,323,395,552,803,819,
86	107,291,299,315,323,459,835,859,867,
87	579,979,
88	75,379,395,683,887,979,
89	67,243,323,443,531,739,755,817,917,
90	39,43,75,185,403,407,523,803,931,
91	356,620,700,750,876,
92	18,28,108,228,300,436,539,644,788,980,
